PARK_NAME,ACCESS_TYP,GIS_ACRES,AGNCY_NAME,AGNCY_TYP,TYPE,CENTER_LAT,CENTER_LON,ADDRESS,CITY,ZIP,IS_COUNTY,Shape__Area,Shape__Length
El Parque Nuestro,Open Access,0.5309853,"Los Angeles, County of",County Agency,Local Park,33.98236423,-118.2437133,1675 Gage Ave.,Los Angeles,90001,Yes,23129.625,738.9196542
Mary M. Bethune Park,Open Access,5.31487807,"Los Angeles, County of",County Agency,Local Park,33.98361981,-118.2530364,1244 E. 61st St.,Los Angeles,90001,Yes,231515.165,1990.206873
Watts Towers of Simon Rodia State Historic Park,Open Access,0.10821257,California Department of Parks and Recreation,State Agency,Regional Open Space,33.93873435,-118.2411148,1727 E 107th St,Los Angeles,90002,No,4713.720703,356.7573929
WAYS Reading and Fitness Park,Open Access,0.38758064,Heal the Bay,Non Profit - Other,Regional Open Space,33.95878844,-118.2608618,5115 Wilshire Blvd e,Los Angeles,90002,No,16882.94434,665.3515281
Metro Blue Line Open Space/Parkway,Open Access,3.6466976,"Los Angeles County Metropolitan Transportation Authority, County of",Transportation Agency,Natural Areas,33.94817823,-118.2431456,7225 Graham Ave,Los Angeles,90002,No,158849.5088,7322.743882
Watts Historic Train Station,Restricted Access,0.28785104,"Los Angeles, City of",City Agency,Regional Open Space,33.94294408,-118.2427528,Watts Historic Train Station,Los Angeles,90002,No,12538.74023,452.4518087
Watts Towers Art Center,Open Access,0.36447524,"Los Angeles, City of",City Agency,Regional Open Space,33.93882986,-118.2415341,1727 E 107th St,Los Angeles,90002,No,15876.47559,509.7354599
Watts Senior Citizen Center and Rose Garden,Open Access,1.30639972,"Los Angeles, City of",City Agency,Regional Open Space,33.94621598,-118.2438455,1657 E Century Blvd,Los Angeles,90002,No,56906.54297,971.5897433
Jordan Downs Rec. Center,Open Access,3.13555194,"Los Angeles, City of",City Agency,Local Park,33.94628571,-118.235825,9900  Grape St,Los Angeles,90002,No,136584.0967,1572.113145
Watts Cultural Crescent,Open Access,2.95670079,"Los Angeles, City of",City Agency,Natural Areas,33.93895687,-118.2409611,1765 E 107th St,Los Angeles,90002,No,128793.373,2852.110334
Col. Leon H. Washington Park,Open Access,12.61853798,"Los Angeles, County of",County Agency,Local Park,33.95662206,-118.2438128,8908 S. Maie Ave.,Los Angeles,90002,Yes,549661.3164,5330.0594
Ted Watkins Memorial Park,Open Access,27.67165777,"Los Angeles, County of",County Agency,Local Park,33.94451655,-118.2515442,1335 E. 103rd St.,Los Angeles,90002,Yes,1205372.589,4659.849238
MudTown Farms,Open Access,2.45925086,Watts Labor Community Action Committee,Non Profit - Other,Natural Areas,33.943533,-118.2358844,Garden Ave,Los Angeles,90002,No,107124.5381,1373.878269
98th Street Parkway,Open Access,15.59073255,"Los Angeles, City of",City Agency,Natural Areas,33.94711691,-118.2719565,W 98th St,Los Angeles,90003,No,679129.5908,28653.81961
Green Meadows Rec. Center,Open Access,7.63687104,"Los Angeles, City of",City Agency,Local Park,33.95603202,-118.2673177,431  89th St,Los Angeles,90003,No,332660.7744,3027.815603
Slauson-Wall Park,Open Access,6.97671262,"Los Angeles, City of",City Agency,Local Park,33.98774078,-118.2712003,Slauson Ave & Wall St,Los Angeles,90003,No,303904.3848,2570.244847
Wall Street Community Park,Open Access,0.10196554,"Los Angeles, City of",City Agency,Local Park,33.95951087,-118.2714549,8620  Wall St,Los Angeles,90003,No,4441.601563,271.0462808
Fremont High School Pool,Restricted Access,0.63827391,"Los Angeles, City of",City Agency,Local Park,33.97058617,-118.2668707,7630  Towne Ave,Los Angeles,90003,No,27803.09961,692.5554763
South Los Angeles Sports Activity Center,Restricted Access,0.74119331,"Los Angeles, City of",City Agency,Local Park,33.97602334,-118.2823078,7020  Figueroa St,Los Angeles,90003,No,32286.25391,778.1147094
61st Street Pocket Park,Open Access,0.11765787,"Los Angeles, City of",City Agency,Local Park,33.98450283,-118.272468,139  61 St,Los Angeles,90003,No,5125.157227,336.2610971
Gage and Avalon Triangle Pocket Park,Open Access,0.16346242,"Los Angeles, City of",City Agency,Local Park,33.98229053,-118.2654935,6301  Avalon Blvd,Los Angeles,90003,No,7120.392578,456.9455131
Erika J. Glazer Community Garden,Restricted Access,0.16522826,Los Angeles Neighborhood Land Trust,Non Profit - Land Trust,Natural Areas,34.03170688,-118.2977726,6550 Emerson Ave,Los Angeles,90007,No,7197.314453,359.7907489
Estrella Park,Open Access,0.30907158,Los Angeles Neighborhood Land Trust,Non Profit - Land Trust,Local Park,34.03368589,-118.2752844,Estrella Ave,Los Angeles,90007,No,13463.10352,566.3012617
Hoover Rec. Center,Open Access,2.98960077,"Los Angeles, City of",City Agency,Local Park,34.03244962,-118.2833695,1010  25th St,Los Angeles,90007,No,130226.4883,2254.844573
Vermont Parkway (City of Los Angeles),Open Access,4.66432009,"Los Angeles, City of",City Agency,Regional Open Space,34.02790192,-118.2912794,Los Angeles,Los Angeles,90007,No,203176.9707,10416.00432
Saint James Park,Open Access,0.89838587,"Los Angeles, City of",City Agency,Local Park,34.03146767,-118.2796903,20  St. James Park,Los Angeles,90007,No,39133.54297,780.1893923
Elinor and Don Richardson Family Park,Open Access,0.3214179,"Los Angeles, City of",City Agency,Local Park,34.03021493,-118.2956318,2700  Budlong Ave,Los Angeles,90007,No,14000.90918,480.0209755
Hoover Pedestrian Mall,Open Access,2.15715612,"Los Angeles, City of",City Agency,Local Park,34.02478803,-118.2828731,University Ave. Between 30Th St. & Hoover St.   ,Los Angeles,90007,No,93965.3457,3186.728958
Orthopaedic Hospital Playground,Open Access,0.32589063,"Los Angeles, City of",City Agency,Local Park,34.02745761,-118.2737064,2400  Flower St,Los Angeles,90007,No,14195.74121,469.5642932
Kenneth Hahn State Recreation Area,Open Access,345.7330953,California Department of Parks and Recreation,County Agency,Regional Recreation Park,34.00635906,-118.3649589,4100 S. La Cienega Blvd.,Los Angeles,90008,Yes,15060055.29,38509.77537
Leimert Park,Open Access,1.26213148,"Los Angeles, City of",City Agency,Regional Open Space,34.00396398,-118.3315323,Leimert Park,Los Angeles,90008,No,54978.22754,1127.306057
Norman O. Houston Park,Open Access,9.52207792,"Los Angeles, City of",City Agency,Local Park,33.9991948,-118.3574803,4800  La Brea Ave,Los Angeles,90008,No,414780.0479,2962.105487
Jim Gilliam Rec. Center,Open Access,17.61944627,"Los Angeles, City of",City Agency,Local Park,34.01261976,-118.3531593,4000  La Brea Ave,Los Angeles,90008,No,767500.0078,5947.295877
Stocker Plaza Park,Open Access,0.50128656,"Los Angeles, City of",City Agency,Regional Open Space,34.00720985,-118.3256596,Stocker Plaza,Los Angeles,90008,No,21835.95508,582.2614773
La Brea Greenbelt,Open Access,21.75330187,"Los Angeles, County of",County Agency,Regional Open Space,34.00734416,-118.3570192,5801 Wilshire Blvd,Los Angeles,90008,No,947570.0439,8106.246195
Fred Roberts Recreation Center,Open Access,2.49524788,"Los Angeles - Department of Recreation and Parks, City of",City Agency,Local Park,34.00063126,-118.243789,4700  Honduras St,Los Angeles,90011,No,108692.5625,1958.19647
Augustus Hawkins Natural Park,Open Access,8.39815425,"Los Angeles, City of",City Agency,Local Park,33.99038415,-118.246659,5790  Compton Ave,Los Angeles,90011,No,365822.1367,2415.541005
Gilbert Lindsay Community Center Park,Open Access,17.7153951,"Los Angeles, City of",City Agency,Local Park,34.00739408,-118.2674288,429  42nd Pl,Los Angeles,90011,No,771679.5244,3816.829567
Ross Snyder Rec. Center,Open Access,11.11836645,"Los Angeles, City of",City Agency,Local Park,34.00947956,-118.2475045,1501 E 41st St,Los Angeles,90011,No,484314.1064,2927.287403
Slauson Playground,Open Access,3.92942891,"Los Angeles, City of",City Agency,Local Park,33.99437007,-118.2466813,1810 W Slauson Ave # J,Los Angeles,90011,No,171165.2383,1751.465929
South Park (City of Los Angeles),Open Access,18.20383712,"Los Angeles, City of",City Agency,Local Park,33.99745988,-118.2673985,345  51st St,Los Angeles,90011,No,792955.9727,3777.171724
Trinity Rec. Center,Open Access,2.22805747,"Los Angeles, City of",City Agency,Local Park,34.02422849,-118.2630139,517  25th St,Los Angeles,90011,No,97053.79492,1243.934928
Central Rec. Center,Open Access,1.65204812,"Los Angeles, City of",City Agency,Local Park,34.02078973,-118.2509623,1357  22nd St,Los Angeles,90011,No,71962.92773,1235.246859
Latham Park,Open Access,0.19289031,"Los Angeles, City of",City Agency,Local Park,33.99459577,-118.2511982,Latham St,Los Angeles,90011,No,8402.268555,373.8578936
Central Avenue Jazz Park,Open Access,0.18946598,"Los Angeles, City of",City Agency,Local Park,34.00681687,-118.2561061,Central Ave,Los Angeles,90011,No,8253.105469,410.8198088
Nevin Avenue Elementary School Park,Open Access,0.13224016,"Los Angeles, City of",City Agency,Local Park,34.01273756,-118.247272,1569 E 32nd St   ,Los Angeles,90011,No,5760.356445,349.8037255
McKinley Avenue Pocket Park,Open Access,0.10530516,"Los Angeles, City of",City Agency,Local Park,33.9987413,-118.2606392,4916 Half South Mckinley Ave,Los Angeles,90011,No,4587.075195,272.2432182
Avalon-San Pedro Park,Open Access,0.93585809,"Los Angeles, City of",City Agency,Local Park,34.01064904,-118.2657082,4025  Avalon Blvd,Los Angeles,90011,No,40765.81543,943.8055195
49th Street Pocket Park,Open Access,0.18938867,"Los Angeles, City of",City Agency,Local Park,33.99833988,-118.263514,670  49th St,Los Angeles,90011,No,8249.736328,429.9911554
Vernon Library Pocket Park,Open Access,0.1254857,"Los Angeles, City of",City Agency,Regional Open Space,34.00271124,-118.2567368,Los Angeles,Los Angeles,90011,No,5466.133789,344.5662713
South Los Angeles Wetlands Pocket Park,Open Access,9.00595236,"Los Angeles, County of",County Agency,Local Park,33.99291539,-118.2676715,5413 S Avalon Blvd,Los Angeles,90011,No,392297.7168,3388.804693
Grand Hope Park,Open Access,2.31165747,"Los Angeles, City of",City Agency,Local Park,34.04420502,-118.2605312,919 S Grand Ave   ,Los Angeles,90015,No,100695.3975,1526.953306
Toberman Playground,Open Access,2.73823414,"Los Angeles, City of",City Agency,Local Park,34.03959322,-118.2792412,1725  Toberman St,Los Angeles,90015,No,119277.002,1543.562945
Venice Hope Park,Open Access,0.35698209,"Los Angeles, City of",City Agency,Local Park,34.03680102,-118.2678248,United States,Los Angeles,90015,No,15550.07813,510.9045472
West Boulevard Park,Open Access,0.10312716,Los Angeles Neighborhood Land Trust,Non Profit - Land Trust,Local Park,34.03364266,-118.3407636,West Blvd,Los Angeles,90016,No,4492.201172,308.7987368
Baldwin Hills Rec. Center,Open Access,6.86761811,"Los Angeles, City of",City Agency,Local Park,34.02442519,-118.3641631,5401  Highlight Pl,Los Angeles,90016,No,299152.2568,2824.917929
Genesee Avenue Park,Open Access,5.85263025,"Los Angeles, City of",City Agency,Local Park,34.03637138,-118.3679428,2330  Genesee Ave,Los Angeles,90016,No,254939.5547,2027.453167
Westside Neighborhood Park,Open Access,4.63909641,"Los Angeles, City of",City Agency,Local Park,34.03016209,-118.3707528,3085  Clyde Ave,Los Angeles,90016,No,202078.2363,3719.54522
Rancho Cienega Sports Center Park,Open Access,20.66473208,"Los Angeles, City of",City Agency,Local Park,34.02307837,-118.3513801,5001  Rodeo Rd,Los Angeles,90016,No,900152.127,5159.513486
Vineyard Rec. Center,Open Access,1.06119902,"Los Angeles, City of",City Agency,Local Park,34.02813933,-118.3463773,2942  Vineyard Ave,Los Angeles,90016,No,46225.64551,1080.251717
Normandie and Cordova Park,Open Access,0.08840915,Los Angeles Neighborhood Land Trust,Non Profit - Land Trust,Local Park,34.03932392,-118.3004936,Normandie Ave & Cordova St,Los Angeles,90018,No,3851.085938,314.256242
Leslie N. Shaw Park,Open Access,0.62679445,"Los Angeles, City of",City Agency,Local Park,34.0258515,-118.3198034,2250  Jefferson Blvd,Los Angeles,90018,No,27303.06055,680.0516994
Loren Miller Park,Open Access,2.48759668,"Los Angeles, City of",City Agency,Local Park,34.03032272,-118.3034231,2717  Halldale Ave,Los Angeles,90018,No,108359.2773,1359.981027
Benny H. Potter West Adams Ave Memorial Park,Open Access,2.25920257,"Los Angeles, City of",City Agency,Local Park,34.03489201,-118.3191787,2413  2nd Ave,Los Angeles,90018,No,98410.46875,1738.876328
Denker Rec. Center,Open Access,1.75749903,"Los Angeles, City of",City Agency,Local Park,34.02322909,-118.303595,1550  35th Pl,Los Angeles,90018,No,76556.35059,1205.796738
Gramercy Park,Open Access,0.05892761,"Los Angeles, City of",City Agency,Regional Open Space,34.03392003,-118.3124031,Gramercy Park,Los Angeles,90018,No,2566.875977,200.5650596
Washington Irvin Pocket Park,Open Access,0.12660485,"Los Angeles, City of",City Agency,Local Park,34.04015351,-118.328585,4103  Washington Blvd,Los Angeles,90018,No,5514.884766,324.4124764
South Seas House Park,Restricted Access,0.18641516,"Los Angeles, City of",City Agency,Regional Open Space,34.03518485,-118.3178673,2301 W 24th St,Los Angeles,90018,No,8120.213867,408.2727338
Sixth and Gladys St. Park,Open Access,0.33988442,"Los Angeles, City of",City Agency,Local Park,34.04027164,-118.2425394,808 E 6th St,Los Angeles,90021,No,14805.30469,496.1944174
Holmby Park,Open Access,8.51859639,"Los Angeles, City of",City Agency,Local Park,34.07257169,-118.429563,601  Club View Dr,Los Angeles,90024,No,371068.5625,3294.897119
Westwood Gardens Park,Open Access,0.28719666,"Los Angeles, City of",City Agency,Local Park,34.05750283,-118.4416007,1246  Glendon Ave,Los Angeles,90024,No,12510.2373,450.4127313
Stoner Rec. Center,Open Access,8.65733519,"Los Angeles, City of",City Agency,Local Park,34.03811957,-118.4540707,1835  Stoner Ave,Los Angeles,90025,No,377112.0117,2460.10647
Westwood Park,Open Access,26.6935311,"Los Angeles, City of",City Agency,Local Park,34.05287012,-118.4470099,1350  Sepulveda Blvd,Los Angeles,90025,No,1162765.563,6386.741534
Felicia Mahood Multipurpose Center,Restricted Access,4.32348744,"Los Angeles, City of",City Agency,Local Park,34.04517756,-118.4495288,11338  Santa Monica Blvd,Los Angeles,90025,No,188330.3633,1844.06687
Bundy Triangle,Restricted Access,0.22004598,"Los Angeles, City of",City Agency,Regional Open Space,34.04054435,-118.4627974,Los Angeles,Los Angeles,90025,No,9585.163086,563.2404274
Dorothy J. and Benjamin B. Smith Park,Open Access,1.4366818,"Los Angeles - Department of Recreation and Parks, City of",City Agency,Local Park,34.10382516,-118.3428619,7020  Franklin Ave,Los Angeles,90028,No,62581.60938,1007.410449
De Longpre Park,Open Access,1.37220221,"Los Angeles, City of",City Agency,Local Park,34.09577961,-118.3347355,1350  Cherokee Ave,Los Angeles,90028,No,59772.88965,979.421466
Carlton Way Pocket Park,Open Access,0.19110577,"Los Angeles, City of",City Agency,Local Park,34.10076914,-118.3189509,5927 Carlton Way   ,Los Angeles,90028,No,8324.535156,433.0016785
Las Palmas Senior Citizen Center,Restricted Access,1.14470642,"Los Angeles, City of",City Agency,Local Park,34.10471805,-118.335885,1820  Las Palmas Ave,Los Angeles,90028,No,49863.21777,935.7086108
Selma Park,Open Access,0.22382626,"Los Angeles, City of",City Agency,Local Park,34.09991023,-118.3328731,6567  Selma Ave,Los Angeles,90028,No,9749.833984,489.991247
Yucca Community Center,Restricted Access,0.97163815,"Los Angeles, City of",City Agency,Local Park,34.10323051,-118.3355587,6671  Yucca St,Los Angeles,90028,No,42324.38965,1400.97878
Carlton Way Pocket Park,Open Access,0.19110577,Trust for Public Land,Non Profit - Conservation,Regional Open Space,34.10076914,-118.3189509,Carlton Way,Los Angeles,90028,No,8324.535156,433.0016785
Lemon Grove Rec. Center,Open Access,3.52739772,"Los Angeles, City of",City Agency,Local Park,34.08687274,-118.3044403,4959  Lemon Grove Ave,Los Angeles,90029,No,153652.8291,1854.454162
La Mirada Park,Open Access,0.1721793,"Los Angeles, City of",City Agency,Local Park,34.09420394,-118.3069966,5401 LA MIRADA AVE   ,Los Angeles,90029,No,7500.100586,400.0028077
Madison Avenue Park,Open Access,0.55969153,Trust for Public Land,Non Profit - Conservation,Local Park,34.09295782,-118.2897999,Madison Ave,Los Angeles,90029,No,24380.06445,687.6310677
Reynier Park,Open Access,1.47532907,"Los Angeles, City of",City Agency,Local Park,34.03552416,-118.3864172,2803  Reynier Ave,Los Angeles,90034,No,64265.07617,1066.82379
Woodbine Park,Open Access,1.16559632,"Los Angeles, City of",City Agency,Local Park,34.02784497,-118.4084519,3409  Vinton Ave,Los Angeles,90034,No,50773.17188,913.5058118
Hancock Park,Open Access,23.10520628,"Los Angeles, City of",City Agency,Local Park,34.06372964,-118.3568904,5800 block of Wilshire Blvd   ,Los Angeles,90036,No,1006458.758,4124.406308
Pan Pacific Park,Open Access,26.18896785,"Los Angeles, City of",City Agency,Local Park,34.07333388,-118.3549849,7600  Beverly Blvd,Los Angeles,90036,No,1140786.879,6430.035279
Rosewood Gardens Park,Open Access,0.06013606,"Los Angeles, City of",City Agency,Regional Open Space,34.08039635,-118.361323,4160 1/2 Rosewood Ave,Los Angeles,90036,No,2619.515625,232.9640705
Rolland Curtis Park,Open Access,0.22061205,"Los Angeles, City of",City Agency,Local Park,34.01672477,-118.2999784,1287  38th St,Los Angeles,90037,No,9609.822266,423.816855
Vermont Square,Open Access,3.663452,"Los Angeles, City of",City Agency,Local Park,34.00021248,-118.2965546,1248  47th St,Los Angeles,90037,No,159579.3311,2744.308866
Julian C. Dixon Park,Open Access,0.96111232,"Los Angeles, City of",City Agency,Local Park,33.99918258,-118.2867186,4800  Hoover St,Los Angeles,90037,No,41865.88477,851.2535681
Exposition Park Rose Garden,Open Access,10.3942352,"Los Angeles, City of",City Agency,Regional Open Space,34.0172785,-118.286085,701 State Dr,Los Angeles,90037,No,452771.0752,2779.903241
EXPO Center,Open Access,6.19228066,"Los Angeles, City of",City Agency,Local Park,34.01193829,-118.289166,3980 Bill Robertson Ln   ,Los Angeles,90037,No,269734.665,2381.624465
Broadway Park (City of Los Angeles),Open Access,0.14634665,"Los Angeles, City of",City Agency,Local Park,33.99544605,-118.2786847,S Broadway,Los Angeles,90037,No,6374.834961,355.0099711
Orchard Avenue Pocket Park,Open Access,0.14069182,"Los Angeles, City of",City Agency,Local Park,34.00155504,-118.2886246,4600 Orchard Ave   ,Los Angeles,90037,No,6128.510742,386.4613315
Hollywood Rec. Center,Open Access,1.29208848,"Los Angeles, City of",City Agency,Local Park,34.09117838,-118.3293692,1122  Cole Ave,Los Angeles,90038,No,56283.14844,953.1792922
Seily Rodriguez Park,Open Access,0.34448007,"Los Angeles, City of",City Agency,Local Park,34.09306414,-118.3139933,5707  Lexington Ave,Los Angeles,90038,No,15005.49121,500.0653764
Lexington Avenue Pocket Park,Open Access,0.17200928,"Los Angeles, City of",City Agency,Local Park,34.09307055,-118.3100714,5523  Lexington Ave ,Los Angeles,90038,No,7492.694336,399.9126751
Van Ness Rec. Center,Open Access,5.27985537,"Los Angeles, City of",City Agency,Local Park,33.98987204,-118.3182359,5720  2nd Ave,Los Angeles,90043,No,229989.583,2357.942064
Angeles Mesa Park,Open Access,0.15487172,"Los Angeles, City of",City Agency,Local Park,34.00020512,-118.325436,4726  8th Ave,Los Angeles,90043,No,6746.185547,369.8036214
South Victoria Avenue Park,Open Access,0.26071651,"Los Angeles, City of",City Agency,Local Park,33.97944421,-118.3327488,S Victoria Ave,Los Angeles,90043,No,11356.76563,498.5574774
11th Avenue Park,Open Access,0.20627109,"Los Angeles, City of",City Agency,Local Park,33.98412913,-118.3289484,6116  11th Ave,Los Angeles,90043,No,8985.133789,540.9417071
Monteith Parkway,Open Access,0.64279997,"Los Angeles, County of",County Agency,Local Park,33.99902491,-118.3373353,4616 S. Mullen Ave.,Los Angeles,90043,Yes,28000.25391,724.6720723
Rueben Ingold Parkway,Open Access,3.4566981,"Los Angeles, County of",County Agency,Local Park,33.99864757,-118.3559637,4400 Mount Vernon Dr.,Los Angeles,90043,Yes,150573.1631,2561.613009
West Athens Victory Garden,Restricted Access,0.59157142,Los Angeles Neighborhood Land Trust,Non Profit - Land Trust,Regional Open Space,33.94090359,-118.2999159,10500 Normandie Ave,Los Angeles,90044,No,25768.74707,648.1781778
Mount Carmel Park,Open Access,1.685303,"Los Angeles, City of",City Agency,Local Park,33.97591509,-118.2887387,830  70th St,Los Angeles,90044,No,73411.50586,1084.776906
Little Green Acres Park,Open Access,0.22978547,"Los Angeles, City of",City Agency,Regional Open Space,33.94172562,-118.2912682,Los Angeles,Los Angeles,90044,No,10009.41406,403.8228068
Algin Sutton Rec. Center,Open Access,16.45356593,"Los Angeles, City of",City Agency,Local Park,33.95669836,-118.2858161,8800  Hoover St,Los Angeles,90044,No,716714.4619,3534.729406
105th Street Pocket Park,Open Access,0.11087865,"Los Angeles, City of",City Agency,Local Park,33.94098122,-118.2852287,609  105th St,Los Angeles,90044,No,4829.856445,314.0094349
Hoover-Gage Park,Open Access,0.20978965,"Los Angeles, City of",City Agency,Local Park,33.98223896,-118.2875571,6265 S Hoover St   ,Los Angeles,90044,No,9138.399414,488.9850816
76th Street Pocket Park,Open Access,0.1283791,"Los Angeles, City of",City Agency,Local Park,33.97100987,-118.2882669,833  76th St,Los Angeles,90044,No,5592.171875,359.6117216
97th Street Pocket Park,Open Access,0.12821473,"Los Angeles, City of",City Agency,Local Park,33.9479907,-118.2846971,554  97th St,Los Angeles,90044,No,5585.010742,359.2508545
Helen Keller Park,Open Access,6.98547434,"Los Angeles, County of",County Agency,Local Park,33.91785977,-118.2926924,12521 S. Vermont Ave.,Los Angeles,90044,Yes,304286.0439,2261.717486
Vermont Median,Open Access,1.63014924,"Los Angeles, County of",County Agency,Regional Open Space,33.95504711,-118.2917135,S Vermont Ave and W 90th St,Los Angeles,90044,No,71009.01074,3029.00794
Woodcrest Play Park,Open Access,0.07894827,"Los Angeles, County of",County Agency,Local Park,33.93986368,-118.299867,1340  W. 106th St,Los Angeles,90044,Yes,3438.975586,362.0136655
Centinela Adobe Park,Open Access,1.08516132,"Inglewood, City of",City Agency,Regional Open Space,33.96757496,-118.3723514,7634 Midfield Ave,Los Angeles,90045,No,47269.43848,1014.653942
Carl E. Nielson Youth Park,Open Access,9.91181445,"Los Angeles, City of",City Agency,Local Park,33.95618095,-118.3887942,6000 Will Rogers St   ,Los Angeles,90045,No,431756.9121,2684.543913
Westchester Golf Course,Open Access,90.21854085,"Los Angeles, City of",City Agency,Natural Areas,33.95655245,-118.40995,6900 W Manchester Ave,Los Angeles,90045,No,3929903.925,9407.427575
Westchester Rec. Center,Open Access,27.50778129,"Los Angeles, City of",City Agency,Local Park,33.95840068,-118.4156764,7000  Manchester Ave,Los Angeles,90045,No,1198234.156,4679.656952
Laurel Canyon Park,Open Access,23.44124701,"Los Angeles, City of",City Agency,Local Park,34.12105098,-118.3796801,8260  Mulholland Dr,Los Angeles,90046,No,1021096.644,4326.549169
Runyon Canyon Park,Open Access,133.1008057,"Los Angeles, City of",City Agency,Local Park,34.1119436,-118.3509326,2000  Fuller Ave,Los Angeles,90046,No,5797847.911,20808.66656
Wattles Garden Park,Open Access,47.57427104,"Los Angeles, City of",City Agency,Local Park,34.10782543,-118.3540566,1850 N Curson Ave,Los Angeles,90046,No,2072326.955,8961.420762
Poinsettia Rec. Center,Open Access,6.28948521,"Los Angeles, City of",City Agency,Local Park,34.08811739,-118.3496681,7341  Willoughy Ave,Los Angeles,90046,No,273968.876,2237.535836
Los Angeles City Water Resource Parkland 8,No Public Access,0.60550104,"Los Angeles, City of",City Agency,Natural Areas,34.10821717,-118.3809722,0,Los Angeles,90046,No,26375.51953,676.4479127
Los Angeles City Water Resource Parkland 9,No Public Access,0.16272353,"Los Angeles, City of",City Agency,Natural Areas,34.108545,-118.381222,0,Los Angeles,90046,No,7088.208984,346.6362142
Los Angeles City Water Resource Parkland 10,No Public Access,0.33740458,"Los Angeles, City of",City Agency,Natural Areas,34.10823907,-118.3806172,0,Los Angeles,90046,No,14697.28418,544.7618704
Los Angeles City Water Resource Parkland 12,No Public Access,0.3776419,"Los Angeles, City of",City Agency,Natural Areas,34.12318843,-118.3734854,0,Los Angeles,90046,No,16450.01953,510.0471997
Los Angeles City Water Resource Parkland 13,No Public Access,4.40349305,"Los Angeles, City of",City Agency,Natural Areas,34.12542746,-118.3667175,0,Los Angeles,90046,No,191815.3877,1969.692442
Los Angeles City Water Resource Parkland 17,No Public Access,0.95614707,"Los Angeles, City of",City Agency,Natural Areas,34.11860684,-118.3924797,0,Los Angeles,90046,No,41649.59668,1424.257537
Los Angeles City Water Resource Parkland 18,No Public Access,0.02682526,"Los Angeles, City of",City Agency,Natural Areas,34.11874174,-118.392682,0,Los Angeles,90046,No,1168.503906,141.1441933
Fairfax Senior Citizen Center,Restricted Access,0.37881467,"Los Angeles, City of",City Agency,Regional Open Space,34.08406078,-118.3623308,7929 Melrose Ave,Los Angeles,90046,No,16501.10059,520.0222855
Trebek Open Space,Open Access,81.51219649,Mountains Recreation and Conservation Authority,Open Space District,Regional Open Space,34.11074142,-118.3580775,Los Angeles,Los Angeles,90046,No,3550657.075,21555.6834
Briar Summit Open Space Preserve,Open Access,52.68554095,Mountains Recreation and Conservation Authority,Open Space District,Regional Open Space,34.12455649,-118.3667936,Los Angeles,Los Angeles,90046,No,2294972.983,9203.861408
 Mountains Recreation and Conservation Authority,Open Access,0.04547941,Mountains Recreation and Conservation Authority,Open Space District,Natural Areas,34.107501,-118.3722302,570 W Ave 26 #100,Los Angeles,90046,No,1981.076172,212.0870654
 Santa Monica Mountains Conservancy,Open Access,4.28724232,Mountains Recreation and Conservation Authority,Open Space District,Natural Areas,34.12081994,-118.3775064,0,Los Angeles,90046,No,186751.5313,2123.320001
 Mountains Recreation and Conservation Authority,Open Access,0.67416271,Mountains Recreation and Conservation Authority,Open Space District,Natural Areas,34.11724971,-118.3749965,570 W Ave 26 #100,Los Angeles,90046,No,29366.41211,1177.115656
 Mountains Recreation and Conservation Authority,Unknown Access,0.19077052,Mountains Recreation and Conservation Authority,Open Space District,Natural Areas,34.12044233,-118.3709771,570 W Ave 26 #100,Los Angeles,90046,No,8309.929688,365.3261151
 Mountains Recreation and Conservation Authority,Open Access,1.11376731,Mountains Recreation and Conservation Authority,Open Space District,Regional Open Space,34.11593363,-118.3555105,570 W Ave 26 #100,Los Angeles,90046,No,48515.51074,1177.211816
Mulholland Adjacent Open Space,Open Access,0.27683032,Mountains Recreation and Conservation Authority,Open Space District,Natural Areas,34.12713782,-118.3608573,Los Angeles,Los Angeles,90046,No,12058.67773,706.0820702
Elrita Bowl Adjacent Open Space,Open Access,0.26007848,Mountains Recreation and Conservation Authority,Open Space District,Natural Areas,34.1177109,-118.3729725,0,Los Angeles,90046,No,11328.97266,442.4051724
 Mountains Recreation and Conservation Authority,Open Access,0.17575862,Mountains Recreation and Conservation Authority,Open Space District,Natural Areas,34.11695737,-118.3742029,570 W Ave 26 #100,Los Angeles,90046,No,7656.013672,347.9322792
 Mountains Recreation and Conservation Authority,Unknown Access,0.0693311,Mountains Recreation and Conservation Authority,Open Space District,Natural Areas,34.10686045,-118.375095,570 W Ave 26 #100,Los Angeles,90046,No,3020.052734,261.342359
 Mountains Recreation and Conservation Authority,Unknown Access,0.11373639,Mountains Recreation and Conservation Authority,Open Space District,Natural Areas,34.10871123,-118.3701463,570 W Ave 26 #100,Los Angeles,90046,No,4954.337891,298.1708934
 Mountains Recreation and Conservation Authority,Unknown Access,9.05964033,Mountains Recreation and Conservation Authority,Open Space District,Natural Areas,34.12978904,-118.3673002,570 W Ave 26 #100,Los Angeles,90046,No,394636.3457,3502.288405
 Mountains Recreation and Conservation Authority,Unknown Access,0.13873142,Mountains Recreation and Conservation Authority,Open Space District,Natural Areas,34.10743668,-118.3756315,570 W Ave 26 #100,Los Angeles,90046,No,6043.116211,356.4061576
