PARK_NAME,ACCESS_TYP,GIS_ACRES,AGNCY_NAME,AGNCY_TYP,TYPE,CENTER_LAT,CENTER_LON,ADDRESS,CITY,ZIP,IS_COUNTY,Shape__Area,Shape__Length
 Mountains Recreation and Conservation Authority,Open Access,1.39397954,Mountains Recreation and Conservation Authority,Open Space District,Natural Areas,34.111322,-118.4351878,2600 Franklin Canyon Dr,Beverly Hills,90210,No,60721.50488,2303.785557
 Mountains Recreation and Conservation Authority,No Public Access,29.62440853,Mountains Recreation and Conservation Authority,Open Space District,Natural Areas,34.10246146,-118.4410793,2600 Franklin Canyon Dr,Beverly Hills,90210,No,1290434.064,40074.5079
 Mountains Recreation and Conservation Authority,Unknown Access,2.50506071,Mountains Recreation and Conservation Authority,Open Space District,Natural Areas,34.10469484,-118.4309472,2600 Franklin Canyon Dr,Beverly Hills,90210,No,109120.0078,1321.366839
Mountains Restoration Trust Parkland,Open Access,18.06804208,Mountains Restoration Trust,Non Profit - Conservation,Regional Open Space,34.10863065,-118.4404927,0,Beverly Hills,90210,No,787040.7686,5849.172726
Sheila Agnes Nature Preserve,Open Access,37.0698872,Santa Monica Mountains Conservancy,State Agency,Regional Open Space,34.12812541,-118.4387397,0,Beverly Hills,90210,No,1614757.832,8696.862012
Beverly Park Estates Open Space,Open Access,13.74752973,Santa Monica Mountains Conservancy,State Agency,Natural Areas,34.12770424,-118.4170928,905 Loma Vista Dr,Beverly Hills,90210,No,598840,4237.393498
Coldwater Canyon Open Space Park,Open Access,2.03408134,Santa Monica Mountains Conservancy,State Agency,Regional Open Space,34.13127545,-118.4133639,1100 N Beverly Dr,Beverly Hills,90210,No,88604.22949,1217.979126
Parma Open Space,Open Access,26.83055453,Santa Monica Mountains Conservancy,State Agency,Natural Areas,34.10714913,-118.4340324,9876 Wilshire Blvd,Beverly Hills,90210,No,1168734.283,5703.135385
Benedict Canyon Open Space,Open Access,0.20279579,Santa Monica Mountains Conservancy,State Agency,Natural Areas,34.11043495,-118.4350379,Beverly Hills,Beverly Hills,90210,No,8833.749023,408.7674258
Franklin Canyon Park,Open Access,23.87397086,Santa Monica Mountains Conservancy,State Agency,Natural Areas,34.11777543,-118.4079112,2600 Franklin Canyon Dr,Beverly Hills,90210,No,1039946.008,9638.66312
Raymond Street Park,Open Access,1.37173852,"Compton, City of",City Agency,Local Park,33.88754632,-118.229413,Compton,Compton,90220,No,59752.69141,1303.869625
Dr. Walter R. Tucker Park,Open Access,2.54195565,"Compton, City of",City Agency,Local Park,33.89215453,-118.234916,Compton,Compton,90220,No,110727.1475,1851.606648
Burrell-MacDonald Park,Open Access,5.04662068,"Compton, City of",City Agency,Local Park,33.88515664,-118.2550294,2516 W Alondra Blvd,Compton,90220,No,219829.917,2175.176592
Ellerman Park,Open Access,1.71197731,"Compton, City of",City Agency,Local Park,33.88284949,-118.229169,Compton,Compton,90220,No,74573.43262,1096.545537
